CELL_TYPE_ID,CELL_TYPE_NAME
406,Dendriform cell
407,Endothelial stalk cell
408,Endothelial tip cell
409,Stratified amacrine cell
410,Interstitial fibrocyte
411,Mesenchymal stroma cell
412,Promyelinating Schwann cell
413,Hair matrix cell
414,pro-Natural killer cell (pro-NK cell)
415,pre-Natural killer cell (pre-NK cell)
416,B Lymphocyte Progenitor
417,Follicular B cell
418,Plasmablast
419,Polychromatophilic erythroblast
420,DNES cell
421,Collagen fibril cell
431,Dural border cell
432,Arachnoid barrier cell
433,Cortical cell
434,Hofbauer cell
435,Choroid plexus progenitor
695,Chorionic mesoderm cell
696,Endoderm progenitor cell
697,Mature articular cartilage mesenchymal progenitor cell
698,Chondrogenic cartilage progenitor cell
699,Mesenchymal progenitor
700,Basophilic band cell
701,Basophilic erythroblast
702,Basophilic metamyelocyte
703,Basophilic myeloblast
704,Basophilic myelocyte
705,Basophilic promyelocyte
706,Cardiac stem cell
707,Cardiomyocyte progenitor cell
708,CFU-Bas
709,CFU-EM (megakaryocyte-erythroid progenitor|Megakaryocyte-erythroid progenitor (MEP)
710,CFU-Eo
711,CFU-GM (granulocyte-monocyte progenitor|Granulocyte-monocyte progenitor (GMP)
712,CFU-Meg
713,Chondroblast
714,Dental pulp stem cell
715,Embryonic stem cell
716,Eosinophilic band cell
717,Eosinophilic metamyelocyte
718,Eosinophilic myeloblast
719,Eosinophilic myelocyte
720,Eosinophilic promyelocyte
721,Gastric progenitor cell
722,Gastric stem cell
723,Glia progenitor cell
724,Hematopoietic stem cell
725,Hepatoblast
726,Interfollicular epidermis stem cell
727,Large intestinal progenitor cell
728,Large intestinal stem cell
729,Liver progenitor cell
730,Lymphoid stem cell (CLP)|Common lymphoid progenitor (CLP)
731,Mammary gland stem cell
732,Megakaryoblast
733,Melanocyte stem cell
734,Mesenchymal stem cell
735,Multipotent hair follicle stem cell
736,Muscle satellite cell
737,Myeloid stem cell (CFU-GEMM|Common myeloid progenitor (CMP)
738,Myoblast
739,Neural progenitor cell
740,Neural stem cell
741,Neutrophilic band cell
742,Neutrophilic metamyelocyte
743,Neutrophilic myeloblast
744,Neutrophilic myelocyte
745,Neutrophilic promyelocyte
746,Nose stem cell
747,Oogonium
748,Orthochromatic erythroblast
749,Osteoprogenitor cell
750,Osteoclast
751,Oval cell
752,Pancreatic progenitor cell
753,Pancreatic stem cell
